City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Snow,Rain,Country,Current Description,Date
276,Pimentel,-3.7,-45.5,90.75,49,96,4.79,0.0,0.0,BR,overcast clouds,2019-11-09 18:28:28
277,Presidencia Roque Saenz Pena,-26.79,-60.44,86.5,53,100,10.4,0.0,0.0,AR,overcast clouds,2019-11-09 18:28:28
278,Leverkusen,51.03,6.99,44.01,93,69,8.05,0.0,0.13,DE,light rain,2019-11-09 18:28:28
279,Khandyga,62.65,135.58,-23.34,97,0,1.83,0.0,0.0,RU,clear sky,2019-11-09 18:28:29
280,Dubbo,-32.25,148.6,50.0,71,3,6.93,0.0,0.0,AU,clear sky,2019-11-09 18:28:29
281,Marzuq,14.4,46.47,69.28,56,0,6.71,0.0,0.0,YE,clear sky,2019-11-09 18:28:29
282,Luderitz,-26.65,15.16,62.6,82,41,11.41,0.0,0.0,NA,scattered clouds,2019-11-09 18:27:10
283,Clyde River,70.47,-68.59,21.2,85,90,21.92,0.0,0.0,CA,light snow,2019-11-09 18:25:15
284,Metro,-5.11,105.31,73.27,77,8,6.89,0.0,0.0,ID,clear sky,2019-11-09 18:28:30
285,Marsa Matruh,31.35,27.25,71.6,68,0,3.36,0.0,0.0,EG,clear sky,2019-11-09 18:28:30
286,Pauini,-7.71,-67.0,95.99,41,68,3.65,0.0,0.0,BR,broken clouds,2019-11-09 18:28:30
287,Mount Gambier,-37.83,140.78,50.0,87,90,9.17,0.0,0.0,AU,overcast clouds,2019-11-09 18:28:31
288,Emerald,-23.53,148.16,64.4,18,12,6.93,0.0,0.0,AU,few clouds,2019-11-09 18:28:31
289,Muisne,0.61,-80.02,86.0,70,40,9.17,0.0,0.0,EC,scattered clouds,2019-11-09 18:28:31
290,Shellbrook,53.22,-106.39,15.8,56,75,13.87,0.0,0.0,CA,light snow,2019-11-09 18:28:31
291,Usinsk,66.0,57.56,3.27,99,83,5.88,0.0,0.0,RU,broken clouds,2019-11-09 18:28:32
292,Terney,45.05,136.61,20.93,49,13,5.26,0.0,0.0,RU,few clouds,2019-11-09 18:28:32
293,Ambilobe,-13.19,49.05,77.79,73,60,9.1,0.0,0.19,MG,light rain,2019-11-09 18:28:32
294,Redmond,47.67,-122.12,50.0,93,90,3.36,0.0,0.0,US,light rain,2019-11-09 18:28:32
295,Arraial Do Cabo,-22.97,-42.02,80.6,78,75,14.99,0.0,0.0,BR,broken clouds,2019-11-09 18:28:32
296,West Sacramento,38.58,-121.53,73.99,36,0,4.54,0.0,0.0,US,clear sky,2019-11-09 18:28:17
297,Lisala,2.15,21.52,72.27,97,96,2.82,0.0,0.0,CD,overcast clouds,2019-11-09 18:28:33
298,Bali,32.29,119.4,55.99,73,66,1.01,0.0,0.0,CN,broken clouds,2019-11-09 18:28:33
299,Merauke,-8.49,140.4,71.51,86,100,4.12,0.0,0.0,ID,overcast clouds,2019-11-09 18:28:33
300,Yulara,-25.24,130.99,66.2,22,0,9.17,0.0,0.0,AU,clear sky,2019-11-09 18:28:34
301,La Rioja,-29.41,-66.86,77.86,45,6,10.78,0.0,0.0,AR,clear sky,2019-11-09 18:28:34
302,Ndioum,16.51,-14.65,102.2,18,91,2.24,0.0,0.0,SN,overcast clouds,2019-11-09 18:28:34
303,Worcester,52.19,-2.22,41.0,100,75,4.7,0.0,0.0,GB,moderate rain,2019-11-09 18:28:34
304,Kushtagi,15.76,76.19,74.82,68,5,5.08,0.0,0.0,IN,clear sky,2019-11-09 18:28:34
305,Chifeng,42.27,118.96,42.46,63,100,7.2,0.0,0.19,CN,light rain,2019-11-09 18:28:35
306,San Alberto,-24.98,-54.91,91.4,52,75,5.82,0.0,0.0,PY,broken clouds,2019-11-09 18:28:35
307,Adeje,5.68,5.76,78.84,88,91,7.0,0.0,2.56,NG,light rain,2019-11-09 18:28:35
308,Port Blair,11.67,92.75,81.81,74,5,2.46,0.0,0.0,IN,clear sky,2019-11-09 18:24:08
309,Saint-Joseph,43.56,6.97,53.6,87,6,2.24,0.0,0.0,FR,clear sky,2019-11-09 18:28:35
310,Bahia Blanca,-38.72,-62.27,77.49,19,0,7.65,0.0,0.0,AR,clear sky,2019-11-09 18:25:06
311,Pundaguitan,6.37,126.17,81.54,75,92,2.73,0.0,2.06,PH,light rain,2019-11-09 18:28:36
312,Toamasina,-18.17,49.38,75.2,94,40,5.82,0.0,0.0,MG,shower rain,2019-11-09 18:28:36
313,Iqaluit,63.75,-68.52,3.2,77,40,6.93,0.0,0.0,CA,scattered clouds,2019-11-09 18:25:39
314,Hamilton,43.26,-79.87,39.99,64,90,24.16,0.0,0.0,CA,overcast clouds,2019-11-09 18:26:19
315,Kavieng,-2.57,150.8,79.39,81,100,6.78,0.0,3.31,PG,moderate rain,2019-11-09 18:28:37
316,Bulgan,48.81,103.53,30.06,63,56,10.85,0.0,0.0,MN,broken clouds,2019-11-09 18:28:37
317,Cairns,-16.92,145.77,64.99,88,64,6.22,0.0,0.0,AU,broken clouds,2019-11-09 18:28:37
318,San Policarpo,12.18,125.51,76.95,85,14,5.55,0.0,0.0,PH,few clouds,2019-11-09 18:28:38
319,Urbano Santos,-3.2,-43.39,90.81,44,99,5.99,0.0,0.0,BR,overcast clouds,2019-11-09 18:28:38
320,Sao Joao Da Barra,-21.64,-41.05,86.0,62,20,16.11,0.0,0.0,BR,few clouds,2019-11-09 18:27:40
321,Zeya,53.74,127.27,0.09,92,3,5.21,0.0,0.0,RU,clear sky,2019-11-09 18:28:38
322,Hasaki,35.73,140.83,48.2,87,75,8.05,0.0,0.0,JP,broken clouds,2019-11-09 18:24:01
323,Ulaangom,49.98,92.07,26.87,87,18,2.82,0.0,0.0,MN,few clouds,2019-11-09 18:28:39
324,Luganville,-15.51,167.18,75.2,88,40,2.24,0.0,0.0,VU,scattered clouds,2019-11-09 18:28:39
325,Austin,30.27,-97.74,64.99,48,1,2.55,0.0,0.0,US,clear sky,2019-11-09 18:27:54
326,Khotynets,53.13,35.4,45.0,82,91,13.73,0.0,0.0,RU,overcast clouds,2019-11-09 18:28:40
327,Sarangani,5.4,125.46,82.69,76,97,11.23,0.0,2.06,PH,light rain,2019-11-09 18:28:41
328,Kirovsk,67.62,33.66,14.86,93,100,4.68,0.0,0.0,RU,overcast clouds,2019-11-09 18:28:41
